call_id,method,invite_time,response_times_ms,final_status,latency_ms,anomaly,latency_100,latency_180,latency_200,invite_to_180_gap,anomaly_flag
00000073-00001068-E3C73D10-6700@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.221005,"{'100': 0, '183': 16, '200': 13593}",200 OK,13593.0,True,0.0,,13593.0,,-1
00003069-000004BC-DB2949EC-9950@2001:1234:5678:9abc:2754:43:900:0,INVITE,2015-08-05 15:57:11.241874,"{'100': 1027, '183': 1038, '200': 14638}",200 OK,14638.0,True,1027.0,,14638.0,,-1
0000306D-000004BC-DB2949EC-9910@2001:1234:5678:9abc:2754:43:d00:0,INVITE,2015-08-05 15:57:11.245470,"{'100': 0, '183': 47, '200': 13567}",200 OK,13567.0,True,0.0,,13567.0,,-1
00000232-00001068-E3C73D10-6701@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.246656,"{'100': 1, '183': 24, '200': 13567}",200 OK,13567.0,True,1.0,,13567.0,,-1
0000312F-000004BC-DB2949EC-9951@2001:1234:5678:9abc:2754:43:6f00:0,INVITE,2015-08-05 15:57:11.262364,"{'100': 1008, '183': 1035, '200': 14618}",200 OK,14618.0,True,1008.0,,14618.0,,-1
0000306F-000004BC-DB2949EC-9911@2001:1234:5678:9abc:2754:43:f00:0,INVITE,2015-08-05 15:57:11.267644,"{'100': 4, '183': 29, '200': 13656}",200 OK,13656.0,True,4.0,,13656.0,,-1
00000231-00001068-E3C73D10-6702@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.268672,"{'100': 2, '183': 4, '200': 13656}",200 OK,13656.0,True,2.0,,13656.0,,-1
0000317D-000004BC-DB2949EC-9952@2001:1234:5678:9abc:2754:43:9d00:0,INVITE,2015-08-05 15:57:11.293855,"{'100': 1007, '183': 1052, '200': 14587}",200 OK,14587.0,True,1007.0,,14587.0,,-1
00003234-000004BC-DB2949EC-9953@2001:1234:5678:9abc:2754:43:f400:0,INVITE,2015-08-05 15:57:11.312208,"{'100': 1033, '183': 1043, '200': 14681}",200 OK,14681.0,True,1033.0,,14681.0,,-1
00025C6C-00000EA8-469F2D3E-7275@2001:1234:5678:9abc:279f:7d:bc00:0,INVITE,2015-08-05 15:57:11.314446,"{'100': 1012, '183': 1037, '200': 2057}",200 OK,2057.0,True,1012.0,,2057.0,,-1
000027B4-000004BC-DB2949EC-9912@2001:1234:5678:9abc:2754:3e:b400:0,INVITE,2015-08-05 15:57:11.320254,"{'100': 0, '183': 18, '200': 13589}",200 OK,13589.0,True,0.0,,13589.0,,-1
00000074-00001068-E3C73D10-6703@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.321276,"{'100': 1, '183': 3, '200': 13589}",200 OK,13589.0,True,1.0,,13589.0,,-1
00002C70-000004BC-DB2949EC-9913@2001:1234:5678:9abc:2754:41:1000:0,INVITE,2015-08-05 15:57:11.329204,"{'100': 5, '183': 14, '200': 13587}",200 OK,13587.0,True,5.0,,13587.0,,-1
000000FC-00001068-E3C73D10-6704@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.330274,"{'100': 2, '183': 4, '200': 13588}",200 OK,13588.0,True,2.0,,13588.0,,-1
000032BD-000004BC-DB2949EC-9954@2001:1234:5678:9abc:2754:44:3d00:0,INVITE,2015-08-05 15:57:11.339960,"{'100': 1006, '183': 1035, '200': 14653}",200 OK,14653.0,True,1006.0,,14653.0,,-1
00003078-000004BC-DB2949EC-9914@2001:1234:5678:9abc:2754:43:1800:0,INVITE,2015-08-05 15:57:11.347318,"{'100': 0, '183': 32, '200': 13576}",200 OK,13576.0,True,0.0,,13576.0,,-1
0000033B-00001068-E3C73D10-6705@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.348202,"{'100': 2, '183': 4, '200': 13576}",200 OK,13576.0,True,2.0,,13576.0,,-1
000034B8-000004BC-DB2949EC-9955@2001:1234:5678:9abc:2754:45:3800:0,INVITE,2015-08-05 15:57:11.362181,"{'100': 1015, '183': 1041, '200': 14635}",200 OK,14635.0,True,1015.0,,14635.0,,-1
00003167-000004BC-DB2949EC-9915@2001:1234:5678:9abc:2754:43:8700:0,INVITE,2015-08-05 15:57:11.370340,"{'100': 3, '183': 22, '200': 13663}",200 OK,13663.0,True,3.0,,13663.0,,-1
0000042E-00001068-E3C73D10-6706@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.371366,"{'100': 1, '183': 3, '200': 13664}",200 OK,13664.0,True,1.0,,13664.0,,-1
000035E1-000004BC-DB2949EC-9956@2001:1234:5678:9abc:2754:45:c100:0,INVITE,2015-08-05 15:57:11.390032,"{'100': 1006, '183': 1064, '200': 14608}",200 OK,14608.0,True,1006.0,,14608.0,,-1
000009AF-000004BC-DB2949EC-9957@2001:1234:5678:9abc:2754:2f:af00:0,INVITE,2015-08-05 15:57:11.412790,"{'100': 1037, '183': 1058, '200': 14631}",200 OK,14631.0,True,1037.0,,14631.0,,-1
00002E3F-000004BC-DB2949EC-9917@2001:1234:5678:9abc:2754:41:ff00:0,INVITE,2015-08-05 15:57:11.417659,"{'100': 0, '183': 23, '200': 13612}",200 OK,13612.0,True,0.0,,13612.0,,-1
0000042F-00001068-E3C73D10-6707@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.419008,"{'100': 1, '183': 4, '200': 13613}",200 OK,13613.0,True,1.0,,13613.0,,-1
00001070-000004BC-DB2949EC-9958@2001:1234:5678:9abc:2754:33:1000:0,INVITE,2015-08-05 15:57:11.437669,"{'100': 1006, '183': 1030, '200': 14615}",200 OK,14615.0,True,1006.0,,14615.0,,-1
00002DFE-000004BC-DB2949EC-9916@2001:1234:5678:9abc:2754:41:de00:0,INVITE,2015-08-05 15:57:11.442152,"{'100': 0, '183': 39, '200': 13698}",200 OK,13698.0,True,0.0,,13698.0,,-1
00002EB4-000004BC-DB2949EC-9918@2001:1234:5678:9abc:2754:42:3400:0,INVITE,2015-08-05 15:57:11.443073,"{'100': 0, '183': 31, '200': 13587}",200 OK,13587.0,True,0.0,,13587.0,,-1
00000430-00001068-E3C73D10-6708@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.443343,"{'100': 23, '183': 25, '200': 13699}",200 OK,13699.0,True,23.0,,13699.0,,-1
00000431-00001068-E3C73D10-6709@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:11.444292,"{'100': 1, '183': 3, '200': 13588}",200 OK,13588.0,True,1.0,,13588.0,,-1
0000366C-000004BC-DB2949EC-9959@2001:1234:5678:9abc:2754:46:c00:0,INVITE,2015-08-05 15:57:11.462383,"{'100': 1008, '183': 1043, '200': 14647}",200 OK,14647.0,True,1008.0,,14647.0,,-1
00002EE1-000004BC-DB2949EC-9919@2001:1234:5678:9abc:2754:42:4100:0,INVITE,2015-08-05 15:57:11.467429,"{'100': 0, '183': 30, '200': 13564}",200 OK,13564.0,True,0.0,,13564.0,,-1
