call_id,method,invite_time,response_times_ms,final_status,latency_ms,anomaly,latency_100,latency_180,latency_200,invite_to_180_gap,anomaly_flag
000048BC-00000B5C-63E1C028-8541@2001:1234:5678:9abc:2745:24:3c00:0,INVITE,2015-08-11T13:43:14.335566,"{'183': 93, '200': 2385}",200 OK,2385.0,True,,,2385.0,,-1
000007A7-00001AB8-63DD38BB-9336@2001:1234:5678:aaaa:226:2dff:fe08:e7ba,INVITE,2015-08-11T13:43:14.380923,"{'100': 0, '180': 96, '200': 1126}",200 OK,1126.0,True,0.0,96.0,1126.0,96.0,-1
aK5q9iC-92da67*000007A8-00001AB8-63DD38BB-9337%2001:1234:5678:aaaa:226:2dff:fe08:e7ba@hpe1cscfn10.ims9.nsn.com,INVITE,2015-08-11T13:43:14.395413,"{'100': 1102, '200': 1103}",200 OK,1103.0,True,1102.0,,1103.0,,-1
aK5q9iC-d315b4*00000866-00001A44-63E4C0F4-3847%2001:1234:5678:aaaa:226:2dff:fe08:e7ba@hpe1cscfn10.ims9.nsn.com,INVITE,2015-08-11T13:43:14.411648,"{'100': 0, '200': 2310}",200 OK,2310.0,True,0.0,,2310.0,,-1
00008E4E-00001510-63E17525-4985@2001:1234:5678:aaaa:20a:e4ff:fe89:3fbe,INVITE,2015-08-11T13:43:14.416758,"{'100': 8, '180': 78, '200': 1114}",200 OK,1114.0,True,8.0,78.0,1114.0,70.0,-1
aK5q9iC-e120da*000007AA-00001AB8-63DD38BB-9339%2001:1234:5678:aaaa:226:2dff:fe08:e7ba@hpe1cscfn10.ims9.nsn.com,INVITE,2015-08-11T13:43:14.429832,"{'100': 1090, '200': 1090}",200 OK,1090.0,True,1090.0,,1090.0,,-1
00008E51-00001510-63E17525-4986@2001:1234:5678:aaaa:20a:e4ff:fe89:3fbe,INVITE,2015-08-11T13:43:14.435067,"{'100': 16, '180': 95, '200': 1196}",200 OK,1196.0,True,16.0,95.0,1196.0,79.0,-1
aK5q9iC-801573*0000072A-00001520-63E966C6-1782%2001:1234:5678:aaaa:226:2dff:fe08:e7ba@hpe1cscfn10.ims9.nsn.com,INVITE,2015-08-11T13:43:14.457212,"{'100': 1154, '200': 1154}",200 OK,1154.0,True,1154.0,,1154.0,,-1
000048E2-00000B5C-63E1C028-8547@2001:1234:5678:9abc:2745:24:4200:0,INVITE,2015-08-11T13:43:14.459221,"{'100': 4, '183': 74, '200': 1230}",200 OK,1230.0,True,4.0,,1230.0,,-1
00008E52-00001510-63E17525-4987@2001:1234:5678:aaaa:20a:e4ff:fe89:3fbe,INVITE,2015-08-11T13:43:14.470122,"{'100': 14, '180': 76, '200': 1191}",200 OK,1191.0,True,14.0,76.0,1191.0,62.0,-1
